route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,peak_flag,fare_id,wheelchair_accessible,bikes_allowed
100481,14320,350885846,"Seacrest Marina","LOCAL",1,7215344,20775004,0,300,1,1
100272,14320,350886056,"Alaska Junction","LOCAL",1,7215344,20773002,0,300,1,1
100272,14320,350886286,"Alaska Junction","LOCAL",1,7215341,20773002,0,300,1,1
100272,14320,350886296,"Alaska Junction","LOCAL",1,7215342,20773002,0,300,1,1
100272,14320,350886306,"Alaska Junction","LOCAL",1,7215341,20773002,0,300,1,1
100272,14320,350886316,"Alaska Junction","LOCAL",1,7215342,20773002,0,300,1,1
100272,14320,350886326,"Alaska Junction","LOCAL",1,7215341,20773002,0,300,1,1
100272,14320,350886336,"Alaska Junction","LOCAL",1,7215342,20773002,0,300,1,1
100272,14320,350886346,"Alaska Junction","LOCAL",1,7215341,20773002,0,300,1,1
100272,14320,350886356,"Alaska Junction","LOCAL",1,7215342,20773002,0,300,1,1
100272,14320,350886366,"Alaska Junction","LOCAL",1,7215341,20773002,0,300,1,1
100272,14320,350886376,"Alaska Junction","LOCAL",1,7215342,20773002,0,300,1,1
100272,14320,350886386,"Alaska Junction","LOCAL",1,7215341,20773002,0,300,1,1
100272,14320,350886396,"Alaska Junction","LOCAL",1,7215344,20773002,0,300,1,1
100272,14320,350886406,"Alaska Junction","LOCAL",1,7215341,20773002,0,300,1,1
100272,14320,350886416,"Alaska Junction","LOCAL",1,7215344,20773002,0,300,1,1
100272,14320,350886426,"Alaska Junction","LOCAL",1,7215341,20773002,0,300,1,1
100272,14320,350886436,"Alaska Junction","LOCAL",1,7215344,20773002,0,300,1,1
100272,14320,350886446,"Alaska Junction","LOCAL",1,7215341,20773002,0,300,1,1
100272,14320,350886456,"Alaska Junction","LOCAL",1,7215344,20773002,0,300,1,1
100272,14320,350886466,"Alaska Junction","LOCAL",1,7215343,20773002,0,300,1,1
100272,14320,350886476,"Alaska Junction","LOCAL",1,7215344,20773002,0,300,1,1
100272,14320,350886486,"Alaska Junction","LOCAL",1,7215343,20773002,0,300,1,1
100481,15371,350897836,"Seacrest Marina","LOCAL",1,7215352,20775004,0,300,1,1
100481,15371,350897846,"Seacrest Marina","LOCAL",1,7215353,20775004,0,300,1,1
100481,15371,350897856,"Seacrest Marina","LOCAL",1,7215352,20775004,0,300,1,1
100481,15371,350897866,"Seacrest Marina","LOCAL",1,7215353,20775004,0,300,1,1
100481,15371,350897876,"Seacrest Marina","LOCAL",1,7215352,20775004,0,300,1,1
100481,15371,350897886,"Seacrest Marina","LOCAL",1,7215353,20775004,0,300,1,1
100481,15371,350897896,"Seacrest Marina","LOCAL",1,7215352,20775004,0,300,1,1
100481,15371,350897906,"Seacrest Marina","LOCAL",1,7215353,20775004,0,300,1,1
100481,15371,350897916,"Seacrest Marina","LOCAL",1,7215352,20775004,0,300,1,1
100481,15371,350897926,"Seacrest Marina","LOCAL",1,7215353,20775004,0,300,1,1
100481,15371,350897936,"Seacrest Marina","LOCAL",1,7215352,20775004,0,300,1,1
100481,15371,350897946,"Seacrest Marina","LOCAL",1,7215353,20775004,0,300,1,1
100481,15371,350897956,"Seacrest Marina","LOCAL",1,7215354,20775004,0,300,1,1
100481,15371,350897966,"Seacrest Marina","LOCAL",1,7215355,20775004,0,300,1,1
100481,15371,350897976,"Seacrest Marina","LOCAL",1,7215354,20775004,0,300,1,1
100481,15371,350897986,"Seacrest Marina","LOCAL",1,7215354,20775004,0,300,1,1
100481,15371,350897996,"Seacrest Marina","LOCAL",1,7215355,20775004,0,300,1,1
100481,15371,350898006,"Seacrest Marina","LOCAL",1,7215354,20775004,0,300,1,1
100481,15371,350898016,"Seacrest Marina","LOCAL",1,7215355,20775004,0,300,1,1
100481,15371,350898026,"Seacrest Marina","LOCAL",1,7215354,20775004,0,300,1,1
